connector_id,timestamp,operator_id,contact_size,contact_position,test_current_a,resistance_mohm,mv_drop,shell_ground_mohm,spec_max_mv,result
CON-38999-11280,2026-04-10T13:00:07+08:00,CON-OP-01,22D,4,3.0,10.5,31.5,6.1,85,PASS
CON-38999-11281,2026-04-10T13:03:30+08:00,CON-OP-03,16,9,5.0,7.0,35.0,6.0,85,PASS
CON-38999-11282,2026-04-10T13:06:52+08:00,CON-OP-02,22D,19,3.0,11.5,34.5,5.3,85,PASS
CON-38999-11283,2026-04-10T13:09:11+08:00,CON-OP-01,16,16,5.0,7.1,35.5,1.5,85,PASS
CON-38999-11284,2026-04-10T13:12:26+08:00,CON-OP-01,22D,10,3.0,11.1,33.3,5.2,85,PASS
CON-38999-11285,2026-04-10T13:15:53+08:00,CON-OP-02,12,10,13.0,6.8,88.4,5.9,85,FAIL
CON-38999-11286,2026-04-10T13:18:44+08:00,CON-OP-02,22D,8,3.0,12.6,37.8,4.2,85,PASS
CON-38999-11287,2026-04-10T13:21:01+08:00,CON-OP-03,16,10,5.0,6.6,33.0,4.4,85,PASS
CON-38999-11288,2026-04-10T13:24:01+08:00,CON-OP-03,22D,13,3.0,10.4,31.2,7.8,85,PASS
CON-38999-11289,2026-04-10T13:27:36+08:00,CON-OP-02,22D,4,3.0,10.7,32.1,1.6,85,PASS
CON-38999-11290,2026-04-10T13:30:17+08:00,CON-OP-01,12,12,13.0,2.9,37.7,6.4,85,PASS
CON-38999-11291,2026-04-10T13:33:10+08:00,CON-OP-03,22D,14,3.0,11.3,33.9,6.9,85,PASS
CON-38999-11292,2026-04-10T13:36:27+08:00,CON-OP-01,22D,11,3.0,9.8,29.4,3.1,85,PASS
CON-38999-11293,2026-04-10T13:39:54+08:00,CON-OP-01,22D,19,3.0,12.6,37.8,4.2,85,PASS
CON-38999-11294,2026-04-10T13:42:28+08:00,CON-OP-02,22D,7,3.0,9.9,29.7,6.8,85,PASS
CON-38999-11295,2026-04-10T13:45:23+08:00,CON-OP-03,22D,14,3.0,11.6,34.8,5.4,85,PASS
CON-38999-11296,2026-04-10T13:48:43+08:00,CON-OP-02,22D,7,3.0,14.2,42.6,5.2,85,PASS
CON-38999-11297,2026-04-10T13:51:59+08:00,CON-OP-02,12,13,13.0,3.5,45.5,3.9,85,PASS
CON-38999-11298,2026-04-10T13:54:34+08:00,CON-OP-01,22D,2,3.0,8.5,25.5,3.2,85,PASS
CON-38999-11299,2026-04-10T13:57:54+08:00,CON-OP-01,22D,11,3.0,19.1,57.3,6.2,85,FAIL
CON-38999-11300,2026-04-10T14:00:18+08:00,CON-OP-02,12,16,13.0,3.8,49.4,5.3,85,PASS
CON-38999-11301,2026-04-10T14:03:42+08:00,CON-OP-02,12,16,13.0,3.4,44.2,5.1,85,PASS
CON-38999-11302,2026-04-10T14:06:32+08:00,CON-OP-03,16,12,5.0,6.7,33.5,3.0,85,PASS
CON-38999-11303,2026-04-10T14:09:13+08:00,CON-OP-01,12,15,13.0,2.4,31.2,2.9,85,PASS
CON-38999-11304,2026-04-10T14:12:57+08:00,CON-OP-03,22D,2,3.0,8.3,24.9,4.9,85,PASS
CON-38999-11305,2026-04-10T14:15:13+08:00,CON-OP-02,22D,2,3.0,10.5,31.5,6.4,85,PASS
CON-38999-11306,2026-04-10T14:18:17+08:00,CON-OP-01,22D,9,3.0,10.1,30.3,4.8,85,PASS
CON-38999-11307,2026-04-10T14:21:26+08:00,CON-OP-01,22D,14,3.0,10.9,32.7,7.1,85,PASS
CON-38999-11308,2026-04-10T14:24:26+08:00,CON-OP-03,12,5,13.0,3.7,48.1,2.7,85,PASS
CON-38999-11309,2026-04-10T14:27:55+08:00,CON-OP-03,22D,19,3.0,13.8,41.4,4.9,85,PASS
CON-38999-11310,2026-04-10T14:30:20+08:00,CON-OP-02,22D,16,3.0,11.5,34.5,5.8,85,PASS
CON-38999-11311,2026-04-10T14:33:43+08:00,CON-OP-02,22D,11,3.0,9.3,27.9,5.5,85,PASS
CON-38999-11312,2026-04-10T14:36:57+08:00,CON-OP-02,16,5,5.0,6.8,34.0,4.5,85,PASS
CON-38999-11313,2026-04-10T14:39:07+08:00,CON-OP-02,22D,12,3.0,11.6,34.8,5.0,85,PASS
CON-38999-11314,2026-04-10T14:42:56+08:00,CON-OP-01,22D,8,3.0,9.5,28.5,2.1,85,PASS
CON-38999-11315,2026-04-10T14:45:02+08:00,CON-OP-02,22D,8,3.0,11.3,33.9,7.0,85,PASS
CON-38999-11316,2026-04-10T14:48:22+08:00,CON-OP-01,22D,8,3.0,11.8,35.4,6.3,85,PASS
CON-38999-11317,2026-04-10T14:51:34+08:00,CON-OP-02,22D,6,3.0,9.0,27.0,3.1,85,PASS
CON-38999-11318,2026-04-10T14:54:47+08:00,CON-OP-01,22D,17,3.0,11.4,34.2,4.9,85,PASS
CON-38999-11319,2026-04-10T14:57:40+08:00,CON-OP-01,16,7,5.0,7.8,39.0,4.0,85,PASS
